ID,Dados,,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '55', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '55', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['59', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '55', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '55', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '55', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '55', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '55', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '55', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
3,"['58', '58', '56', '0', '26', '26', '26', '0']",,,,,,,
